order_id,user_id,restaurant_id,current_cart_items,candidate_addon_item,is_meal_complement,user_item_frequency,user_recent_diet_trend,addon_dietary_type,cart_dietary_type,delivery_distance_km,order_hour_of_day,addon_price,cart_value,item_rating,is_top_seller,target_added_to_cart
ORD10012,U1275,R516,Masala Dosa,Extra Chutney,1,4,Junk,Vegan,Veg,8.8,22,192.0,1221.0,3.9,0,0
ORD10013,U1091,R501,Masala Dosa,Healthy Quinoa Salad,1,6,Balanced,Non-Veg,Vegan,5.4,0,60.0,576.0,4.8,0,0
ORD10014,U1111,R532,Pasta Alfredo,Extra Chutney,1,1,Healthy,Vegan,Vegan,3.1,19,159.0,630.0,3.4,0,0
ORD10015,U1481,R537,Paneer Butter Masala,Healthy Quinoa Salad,0,5,Healthy,Veg,Vegan,5.2,15,86.0,213.0,3.9,0,0
ORD10016,U1039,R545,Beef Burger,Healthy Quinoa Salad,1,7,Balanced,Vegan,Veg,1.2,2,203.0,171.0,3.9,0,0
ORD10017,U1382,R542,Pasta Alfredo,Green Tea,0,2,Junk,Vegan,Non-Veg,14.3,15,204.0,794.0,4.6,1,0
ORD10018,U1131,R506,Pasta Alfredo,Mint Raita,1,2,Healthy,Vegan,Non-Veg,8.9,1,198.0,279.0,4.6,1,0
ORD10019,U1306,R537,Masala Dosa,Green Tea,1,1,Junk,Vegan,Veg,12.3,22,141.0,412.0,4.5,0,0
ORD10020,U1384,R531,Sushi Platter,Healthy Quinoa Salad,0,3,Junk,Veg,Non-Veg,6.6,22,85.0,1293.0,3.7,0,0
ORD10021,U1213,R504,Paneer Butter Masala,Butter Naan,1,4,Junk,Veg,Veg,13.6,8,206.0,921.0,3.1,0,0
ORD10022,U1246,R541,Margherita Pizza,Miso Soup,1,3,Junk,Vegan,Veg,7.5,1,63.0,1005.0,3.7,0,0
ORD10023,U1053,R513,Pasta Alfredo,Healthy Quinoa Salad,1,2,Healthy,Veg,Non-Veg,8.8,20,87.0,403.0,4.4,0,0
ORD10024,U1403,R535,Beef Burger,Green Tea,1,2,Balanced,Veg,Vegan,7.6,23,62.0,1269.0,,1,0
ORD10025,U1396,R526,Sushi Platter,Butter Naan,1,2,Healthy,Non-Veg,Veg,11.1,21,175.0,1322.0,4.9,0,0
ORD10026,U1409,R529,Sushi Platter,Green Tea,1,4,Balanced,Veg,Veg,8.7,8,178.0,856.0,3.9,1,0
ORD10027,U1175,R503,Margherita Pizza,Extra Chutney,0,6,Junk,Vegan,Veg,4.4,8,170.0,1382.0,4.3,1,0
ORD10028,U1497,R513,Pasta Alfredo,Filter Coffee,1,1,Balanced,Veg,Veg,2.6,23,116.0,1291.0,4.1,0,0
ORD10029,U1266,R540,Beef Burger,Chocolate Brownie,1,5,,Veg,Non-Veg,9.3,7,43.0,1137.0,3.3,0,0
ORD10030,U1458,R544,Paneer Butter Masala,Garlic Bread,0,0,Healthy,Veg,Non-Veg,7.6,15,230.0,1141.0,3.9,0,1
ORD10031,U1196,R511,Chicken Biryani,Green Tea,0,4,Healthy,Veg,Veg,,10,137.0,292.0,4.1,0,0
ORD10032,U1305,R529,Beef Burger,Garlic Bread,1,4,Balanced,Non-Veg,Vegan,6.2,14,114.0,516.0,4.9,0,0
ORD10033,U1182,R522,Margherita Pizza,French Fries,1,5,,Vegan,Non-Veg,8.0,9,155.0,240.0,3.7,1,0
ORD10034,U1401,R519,Sushi Platter,Green Tea,1,1,Junk,Vegan,Vegan,12.5,23,64.0,162.0,5.0,1,0
ORD10035,U1417,R543,Paneer Butter Masala,Filter Coffee,1,5,Balanced,Veg,Vegan,1.6,1,50.0,364.0,4.1,1,0
ORD10036,U1241,R529,Beef Burger,Garlic Bread,0,2,Junk,Veg,Veg,5.6,22,113.0,1339.0,3.5,0,1
ORD10037,U1185,R523,Chicken Biryani,Healthy Quinoa Salad,0,2,Junk,Non-Veg,Non-Veg,12.4,7,72.0,474.0,3.4,0,1
ORD10038,U1309,R501,Chicken Biryani,Green Tea,1,6,Junk,Veg,Veg,9.9,20,76.0,1460.0,3.3,0,0
ORD10039,U1350,R503,Masala Dosa,Mint Raita,0,1,Healthy,Non-Veg,Veg,4.7,23,225.0,956.0,3.9,0,0
ORD10040,U1322,R530,Masala Dosa,Chocolate Brownie,0,3,,Vegan,Vegan,12.8,21,142.0,470.0,3.0,0,0
ORD10041,U1453,R511,Oatmeal Bowl,Filter Coffee,0,5,,Vegan,Vegan,7.7,15,131.0,821.0,3.9,0,0
ORD10042,U1399,R536,Margherita Pizza,Garlic Bread,1,3,Junk,Non-Veg,Vegan,7.7,10,179.0,446.0,5.0,0,0
ORD10043,U1102,R532,Pasta Alfredo,Filter Coffee,1,0,Healthy,Vegan,Veg,14.7,13,239.0,1478.0,4.3,1,0
ORD10044,U1304,R536,Beef Burger,Butter Naan,0,4,Junk,Veg,Veg,14.2,13,46.0,1294.0,4.5,1,0
ORD10045,U1429,R508,Beef Burger,Chocolate Brownie,1,2,Junk,Veg,Veg,5.7,19,212.0,185.0,3.2,0,0
ORD10046,U1347,R539,Pasta Alfredo,Healthy Quinoa Salad,1,1,Balanced,Non-Veg,Veg,2.5,2,154.0,1429.0,3.9,1,0
ORD10047,U1355,R532,Oatmeal Bowl,Green Tea,1,6,Junk,Vegan,Veg,5.2,0,54.0,1123.0,3.6,0,0
ORD10048,U1441,R509,Sushi Platter,Green Tea,0,5,Healthy,Vegan,Veg,0.9,13,88.0,261.0,4.8,0,0
ORD10049,U1319,R510,Sushi Platter,Green Tea,1,4,Healthy,Non-Veg,Veg,0.8,23,131.0,1055.0,3.4,1,0
ORD10050,U1449,R539,Oatmeal Bowl,Chocolate Brownie,0,1,Junk,Non-Veg,Veg,6.2,12,179.0,1023.0,3.9,0,0
ORD10051,U1368,R534,Sushi Platter,Mint Raita,1,2,Healthy,Vegan,Non-Veg,14.1,10,76.0,445.0,4.2,1,0
ORD10052,U1099,R519,Masala Dosa,French Fries,1,2,Junk,Non-Veg,Non-Veg,13.1,9,143.0,1174.0,4.0,0,0
ORD10053,U1386,R513,Beef Burger,Miso Soup,0,2,Balanced,Veg,Non-Veg,7.9,21,177.0,268.0,,1,0
ORD10054,U1067,R508,Oatmeal Bowl,Extra Chutney,1,2,Junk,Vegan,Non-Veg,8.7,22,123.0,811.0,,1,0
ORD10055,U1361,R509,Beef Burger,Garlic Bread,1,0,Junk,Non-Veg,Veg,0.6,14,218.0,163.0,,0,0
ORD10056,U1100,R539,Pasta Alfredo,Mint Raita,0,8,Balanced,Non-Veg,Veg,3.6,10,220.0,1458.0,4.6,0,1
ORD10057,U1071,R549,Chicken Biryani,Healthy Quinoa Salad,1,4,Healthy,Non-Veg,Vegan,0.9,15,128.0,1165.0,4.1,0,0
ORD10058,U1251,R535,Masala Dosa,Garlic Bread,0,2,,Vegan,Vegan,11.4,13,244.0,364.0,3.8,0,0
ORD10059,U1436,R531,Paneer Butter Masala,Green Tea,1,3,Balanced,Veg,Non-Veg,2.6,9,37.0,611.0,3.1,0,0
ORD10060,U1289,R521,Masala Dosa,Filter Coffee,1,4,Junk,Veg,Vegan,13.1,22,21.0,367.0,4.5,1,0
ORD10061,U1301,R506,Oatmeal Bowl,Healthy Quinoa Salad,1,3,Junk,Vegan,Non-Veg,9.8,21,108.0,1185.0,4.9,0,0
ORD10062,U1222,R512,Paneer Butter Masala,Garlic Bread,0,5,Balanced,Non-Veg,Veg,3.8,21,158.0,230.0,4.2,1,0
ORD10063,U1085,R533,Chicken Biryani,Green Tea,1,6,,Vegan,Veg,2.8,23,165.0,1285.0,4.7,1,0
ORD10064,U1354,R509,Oatmeal Bowl,Garlic Bread,1,9,Balanced,Vegan,Vegan,9.6,14,130.0,1422.0,4.0,0,0
ORD10065,U1076,R541,Margherita Pizza,Filter Coffee,1,4,Healthy,Non-Veg,Veg,13.6,2,49.0,1063.0,3.5,0,0
ORD10066,U1400,R536,Beef Burger,Green Tea,1,5,Balanced,Vegan,Veg,10.9,20,59.0,438.0,3.0,0,0
ORD10067,U1145,R501,Chicken Biryani,French Fries,1,3,Balanced,Veg,Non-Veg,5.6,21,216.0,636.0,4.3,0,0
ORD10068,U1423,R533,Beef Burger,Mint Raita,0,2,Healthy,Vegan,Vegan,9.0,2,220.0,794.0,4.0,0,0
ORD10069,U1366,R502,Sushi Platter,Butter Naan,0,1,Balanced,Non-Veg,Veg,5.0,7,175.0,966.0,4.6,0,1
ORD10070,U1066,R548,Margherita Pizza,Extra Chutney,1,3,Junk,Vegan,Vegan,15.0,14,173.0,1053.0,4.4,0,0
ORD10071,U1472,R520,Margherita Pizza,Chocolate Brownie,0,2,Balanced,Veg,Veg,11.4,20,157.0,898.0,5.0,0,0
ORD10072,U1138,R529,Chicken Biryani,Extra Chutney,1,3,Junk,Vegan,Non-Veg,9.4,21,67.0,624.0,4.0,1,1
ORD10073,U1138,R526,Margherita Pizza,Healthy Quinoa Salad,1,3,Healthy,Vegan,Veg,6.6,22,118.0,1353.0,3.9,1,0
ORD10074,U1470,R547,Paneer Butter Masala,Extra Chutney,0,4,Healthy,Vegan,Vegan,9.5,21,180.0,260.0,3.6,0,0
ORD10075,U1403,R505,Margherita Pizza,Green Tea,1,1,Junk,Vegan,Vegan,5.5,14,144.0,779.0,4.0,0,0
ORD10076,U1078,R527,Beef Burger,French Fries,1,4,Balanced,Non-Veg,Non-Veg,0.9,12,24.0,1197.0,4.7,1,0
ORD10077,U1128,R515,Beef Burger,Butter Naan,1,2,Junk,Veg,Veg,6.2,14,239.0,232.0,3.1,1,0
ORD10078,U1335,R548,Oatmeal Bowl,Mint Raita,0,3,Junk,Veg,Non-Veg,14.0,13,214.0,1102.0,5.0,0,0
ORD10079,U1006,R550,Beef Burger,Mint Raita,0,2,Healthy,Veg,Vegan,9.6,21,80.0,1257.0,5.0,0,0
ORD10080,U1499,R529,Oatmeal Bowl,Filter Coffee,1,2,Junk,Vegan,Non-Veg,1.7,12,162.0,1042.0,4.2,0,0
ORD10081,U1413,R520,Beef Burger,Chocolate Brownie,1,4,Balanced,Veg,Veg,13.3,15,232.0,167.0,3.7,0,1
ORD10082,U1130,R532,Paneer Butter Masala,Garlic Bread,1,4,Junk,Non-Veg,Veg,4.4,14,42.0,393.0,3.4,0,0
ORD10083,U1108,R545,Pasta Alfredo,French Fries,1,7,Healthy,Vegan,Non-Veg,4.0,1,136.0,612.0,3.6,0,0
ORD10084,U1466,R524,Oatmeal Bowl,Garlic Bread,0,0,Balanced,Vegan,Vegan,4.8,7,125.0,465.0,3.1,0,0
ORD10085,U1321,R543,Masala Dosa,Butter Naan,1,2,Healthy,Veg,Vegan,8.9,7,114.0,1450.0,4.0,0,0
ORD10086,U1353,R502,Sushi Platter,Extra Chutney,0,1,Junk,Vegan,Non-Veg,8.4,19,212.0,1030.0,,0,0
ORD10087,U1314,R542,Chicken Biryani,Mint Raita,1,5,,Vegan,Veg,7.6,1,108.0,551.0,4.4,0,0
ORD10088,U1096,R527,Beef Burger,Butter Naan,1,2,Healthy,Veg,Veg,10.9,20,35.0,1405.0,3.7,1,0
ORD10089,U1451,R544,Margherita Pizza,Extra Chutney,1,0,Healthy,Non-Veg,Veg,5.1,12,35.0,1150.0,3.4,0,1
ORD10090,U1485,R525,Pasta Alfredo,Mint Raita,1,1,Balanced,Non-Veg,Veg,11.8,2,30.0,534.0,4.1,1,0
ORD10091,U1070,R503,Beef Burger,Extra Chutney,0,4,Healthy,Veg,Vegan,3.0,1,114.0,661.0,4.9,0,0
ORD10092,U1194,R503,Margherita Pizza,Chocolate Brownie,1,6,Healthy,Non-Veg,Veg,11.8,10,185.0,419.0,4.4,0,0
ORD10093,U1104,R503,Sushi Platter,French Fries,0,1,Junk,Non-Veg,Non-Veg,10.1,22,67.0,1461.0,4.0,0,0
ORD10094,U1029,R503,Sushi Platter,Healthy Quinoa Salad,1,2,Junk,Non-Veg,Non-Veg,10.4,0,169.0,848.0,4.6,0,1
ORD10095,U1145,R518,Sushi Platter,Butter Naan,0,4,Healthy,Vegan,Non-Veg,7.5,22,178.0,1360.0,4.5,0,0
ORD10096,U1341,R521,Margherita Pizza,Butter Naan,1,5,Healthy,Vegan,Non-Veg,10.2,23,79.0,618.0,4.8,0,0
ORD10097,U1121,R512,Beef Burger,Miso Soup,1,2,Junk,Vegan,Veg,1.7,23,158.0,1312.0,3.4,1,0
ORD10098,U1187,R539,Sushi Platter,Green Tea,0,3,Balanced,Non-Veg,Vegan,12.8,9,178.0,223.0,4.7,1,0
ORD10099,U1443,R515,Paneer Butter Masala,Chocolate Brownie,0,4,Balanced,Vegan,Veg,1.3,20,127.0,1476.0,3.6,0,1
ORD10100,U1408,R507,Oatmeal Bowl,Chocolate Brownie,1,4,Balanced,Non-Veg,Vegan,2.7,20,97.0,1381.0,4.9,1,1
ORD10101,U1478,R514,Margherita Pizza,Garlic Bread,1,2,Balanced,Veg,Veg,8.9,2,162.0,640.0,3.6,0,0
ORD10102,U1341,R509,Margherita Pizza,Extra Chutney,0,6,Junk,Non-Veg,Vegan,11.2,20,245.0,1196.0,4.9,0,0
ORD10103,U1092,R538,Beef Burger,Green Tea,0,3,Healthy,Vegan,Non-Veg,1.6,2,118.0,1166.0,4.9,0,0
ORD10104,U1435,R508,Margherita Pizza,French Fries,0,1,Balanced,Non-Veg,Non-Veg,13.9,22,110.0,1367.0,3.3,0,0
ORD10105,U1429,R529,Margherita Pizza,French Fries,1,4,Junk,Vegan,Vegan,14.6,8,127.0,565.0,4.9,0,0
ORD10106,U1126,R517,Sushi Platter,Chocolate Brownie,1,1,Healthy,Vegan,Vegan,9.3,21,38.0,778.0,3.2,0,0
ORD10107,U1349,R509,Beef Burger,French Fries,0,4,Balanced,Veg,Vegan,7.5,2,147.0,1318.0,3.4,0,0
ORD10108,U1369,R539,Sushi Platter,Miso Soup,0,2,Healthy,Veg,Non-Veg,11.3,19,96.0,1201.0,3.9,0,0
ORD10109,U1482,R504,Oatmeal Bowl,Butter Naan,0,2,Balanced,Vegan,Non-Veg,5.3,7,48.0,681.0,5.0,0,0
ORD10110,U1073,R511,Pasta Alfredo,Filter Coffee,0,2,Healthy,Non-Veg,Veg,7.7,20,127.0,1292.0,4.0,0,0
ORD10111,U1473,R541,Oatmeal Bowl,Healthy Quinoa Salad,1,3,Balanced,Veg,Vegan,13.8,20,21.0,213.0,4.1,0,0
ORD10112,U1384,R540,Pasta Alfredo,Garlic Bread,0,6,Balanced,Veg,Vegan,14.4,22,112.0,1206.0,4.4,0,0
ORD10113,U1297,R516,Sushi Platter,Extra Chutney,0,2,Healthy,Vegan,Vegan,13.9,2,44.0,429.0,,1,0
ORD10114,U1486,R547,Oatmeal Bowl,Healthy Quinoa Salad,1,4,Healthy,Non-Veg,Non-Veg,4.3,23,26.0,536.0,4.6,0,1
ORD10115,U1027,R529,Beef Burger,Extra Chutney,0,1,Healthy,Veg,Vegan,3.9,10,210.0,816.0,3.4,0,0
ORD10116,U1415,R545,Chicken Biryani,Mint Raita,1,0,Junk,Veg,Vegan,4.8,23,231.0,757.0,3.6,0,0
ORD10117,U1064,R516,Sushi Platter,Healthy Quinoa Salad,1,1,Junk,Non-Veg,Non-Veg,6.9,2,68.0,853.0,3.2,1,0
ORD10118,U1364,R503,Pasta Alfredo,Filter Coffee,1,3,Healthy,Veg,Vegan,5.1,21,144.0,885.0,4.3,0,0
ORD10119,U1239,R521,Paneer Butter Masala,Chocolate Brownie,1,3,Junk,Non-Veg,Veg,5.9,14,84.0,598.0,3.4,0,0
ORD10120,U1438,R527,Pasta Alfredo,Miso Soup,1,3,Balanced,Vegan,Non-Veg,9.5,7,134.0,387.0,3.5,0,0
ORD10121,U1010,R532,Paneer Butter Masala,Butter Naan,1,4,Healthy,Veg,Non-Veg,11.6,1,120.0,1187.0,4.8,1,0
ORD10122,U1215,R519,Margherita Pizza,Butter Naan,1,4,Junk,Vegan,Non-Veg,11.2,1,82.0,690.0,3.7,0,1
ORD10123,U1101,R512,Oatmeal Bowl,Miso Soup,1,3,Healthy,Non-Veg,Veg,12.3,13,181.0,833.0,4.1,0,0
ORD10124,U1051,R534,Paneer Butter Masala,Green Tea,1,4,Balanced,Vegan,Non-Veg,1.0,15,49.0,1020.0,,0,0
ORD10125,U1154,R522,Pasta Alfredo,Mint Raita,1,3,Balanced,Vegan,Non-Veg,1.2,0,32.0,1378.0,,0,0
ORD10126,U1326,R523,Margherita Pizza,Extra Chutney,0,5,Junk,Vegan,Non-Veg,11.9,23,197.0,1105.0,3.7,0,0
ORD10127,U1108,R535,Chicken Biryani,Filter Coffee,0,4,Balanced,Non-Veg,Non-Veg,8.2,0,173.0,211.0,3.8,1,0
ORD10128,U1402,R501,Beef Burger,French Fries,0,1,Healthy,Non-Veg,Veg,8.9,23,135.0,1282.0,4.8,0,0
ORD10129,U1405,R521,Beef Burger,Healthy Quinoa Salad,1,1,Junk,Non-Veg,Vegan,1.3,14,128.0,1486.0,3.6,0,0
ORD10130,U1242,R502,Beef Burger,Mint Raita,1,1,Healthy,Non-Veg,Vegan,4.2,0,134.0,788.0,3.8,0,1
ORD10131,U1372,R535,Paneer Butter Masala,Healthy Quinoa Salad,1,2,Healthy,Non-Veg,Non-Veg,9.8,21,121.0,1459.0,4.6,0,0
ORD10132,U1377,R537,Chicken Biryani,Filter Coffee,1,2,Healthy,Veg,Veg,13.0,2,110.0,889.0,4.5,0,0
ORD10133,U1156,R533,Paneer Butter Masala,Garlic Bread,1,4,Balanced,Veg,Non-Veg,13.8,1,135.0,770.0,4.6,0,0
ORD10134,U1161,R547,Oatmeal Bowl,Garlic Bread,0,2,Healthy,Veg,Vegan,7.8,2,142.0,597.0,4.9,0,0
ORD10135,U1242,R528,Paneer Butter Masala,Mint Raita,1,3,Balanced,Vegan,Vegan,8.4,21,179.0,1038.0,,0,0
ORD10136,U1433,R502,Chicken Biryani,Chocolate Brownie,1,4,,Vegan,Veg,12.6,8,184.0,460.0,3.8,0,0
ORD10137,U1096,R538,Chicken Biryani,Filter Coffee,1,4,Balanced,Non-Veg,Vegan,8.3,13,107.0,292.0,4.6,1,0
ORD10138,U1032,R538,Oatmeal Bowl,Filter Coffee,0,4,Balanced,Non-Veg,Non-Veg,8.0,1,115.0,187.0,4.0,0,1
ORD10139,U1311,R527,Chicken Biryani,Miso Soup,1,5,Balanced,Veg,Veg,13.6,23,106.0,545.0,3.6,1,0
ORD10140,U1211,R502,Pasta Alfredo,Chocolate Brownie,1,3,Healthy,Non-Veg,Vegan,12.0,19,143.0,684.0,3.6,0,1
ORD10141,U1370,R519,Chicken Biryani,Extra Chutney,1,6,Healthy,Vegan,Non-Veg,13.7,15,124.0,895.0,3.4,0,1
ORD10142,U1417,R544,Beef Burger,Extra Chutney,1,2,Balanced,Non-Veg,Veg,3.7,22,225.0,545.0,,0,0
ORD10143,U1482,R522,Pasta Alfredo,French Fries,1,4,Healthy,Veg,Non-Veg,8.1,21,180.0,1478.0,3.4,0,0
ORD10144,U1450,R533,Pasta Alfredo,Butter Naan,0,3,Balanced,Non-Veg,Vegan,12.7,0,227.0,544.0,3.1,0,0
ORD10145,U1137,R506,Oatmeal Bowl,Garlic Bread,1,2,Healthy,Vegan,Non-Veg,2.1,15,183.0,745.0,4.8,1,1
ORD10146,U1324,R537,Masala Dosa,Extra Chutney,1,5,Balanced,Veg,Veg,12.0,9,243.0,289.0,4.9,1,1
ORD10147,U1310,R519,Masala Dosa,Chocolate Brownie,1,2,Balanced,Non-Veg,Non-Veg,3.2,2,166.0,502.0,,0,0
ORD10148,U1367,R515,Chicken Biryani,Filter Coffee,1,1,Junk,Vegan,Vegan,12.2,20,242.0,215.0,4.7,1,0
ORD10149,U1011,R538,Pasta Alfredo,Extra Chutney,0,2,Healthy,Veg,Veg,,10,56.0,905.0,3.4,0,0
ORD10150,U1196,R503,Masala Dosa,Filter Coffee,0,2,Healthy,Veg,Veg,3.3,9,32.0,1164.0,4.8,1,1
ORD10151,U1219,R511,Masala Dosa,Extra Chutney,1,6,Junk,Vegan,Vegan,7.4,15,153.0,414.0,4.0,0,1
ORD10152,U1376,R527,Chicken Biryani,Garlic Bread,1,2,Balanced,Non-Veg,Non-Veg,10.4,23,246.0,647.0,3.1,1,0
ORD10153,U1325,R510,Masala Dosa,Healthy Quinoa Salad,1,3,Balanced,Non-Veg,Non-Veg,9.7,10,116.0,172.0,3.3,0,0
ORD10154,U1065,R547,Paneer Butter Masala,Extra Chutney,0,3,Junk,Non-Veg,Vegan,6.7,20,69.0,1283.0,3.6,1,0
ORD10155,U1480,R538,Margherita Pizza,Chocolate Brownie,1,4,Junk,Veg,Veg,13.5,20,140.0,1203.0,3.1,0,0
ORD10156,U1304,R526,Oatmeal Bowl,Extra Chutney,1,2,Balanced,Veg,Vegan,8.0,8,169.0,235.0,3.6,0,1
ORD10157,U1483,R515,Margherita Pizza,Butter Naan,1,2,Healthy,Non-Veg,Veg,7.8,0,92.0,643.0,3.1,0,0
ORD10158,U1108,R537,Chicken Biryani,Garlic Bread,0,3,Junk,Veg,Veg,1.4,21,184.0,1440.0,3.5,1,0
ORD10159,U1209,R501,Beef Burger,Chocolate Brownie,1,4,,Veg,Non-Veg,13.9,2,244.0,679.0,3.5,0,0
ORD10160,U1115,R510,Oatmeal Bowl,Miso Soup,1,5,Junk,Vegan,Vegan,3.1,2,226.0,860.0,5.0,0,0
ORD10161,U1193,R512,Chicken Biryani,Chocolate Brownie,0,6,Junk,Non-Veg,Veg,8.2,10,87.0,630.0,3.5,0,0
ORD10162,U1014,R508,Pasta Alfredo,Butter Naan,1,0,Junk,Non-Veg,Non-Veg,12.2,22,95.0,955.0,3.5,1,0
ORD10163,U1048,R545,Beef Burger,Healthy Quinoa Salad,1,3,Junk,Non-Veg,Vegan,3.6,21,105.0,1471.0,4.4,0,0
ORD10164,U1426,R540,Margherita Pizza,Garlic Bread,1,2,Balanced,Veg,Vegan,8.1,20,111.0,1497.0,4.7,0,0
ORD10165,U1093,R525,Chicken Biryani,Miso Soup,1,5,Balanced,Veg,Veg,4.0,2,43.0,1196.0,3.8,1,0
ORD10166,U1390,R543,Pasta Alfredo,Butter Naan,0,4,Junk,Veg,Veg,11.5,15,195.0,696.0,4.8,0,0
ORD10167,U1026,R502,Oatmeal Bowl,Butter Naan,0,1,Balanced,Non-Veg,Veg,8.7,8,104.0,817.0,3.7,0,0
ORD10168,U1322,R529,Oatmeal Bowl,Mint Raita,1,1,Healthy,Veg,Vegan,,7,222.0,632.0,3.4,0,0
ORD10169,U1237,R542,Sushi Platter,Garlic Bread,0,2,Healthy,Non-Veg,Veg,13.5,7,233.0,1481.0,3.7,1,0
ORD10170,U1498,R550,Pasta Alfredo,Chocolate Brownie,1,2,Junk,Veg,Vegan,9.9,20,26.0,1105.0,4.2,0,0
ORD10171,U1033,R518,Paneer Butter Masala,Filter Coffee,0,2,Healthy,Non-Veg,Non-Veg,11.0,10,247.0,756.0,3.7,0,1
ORD10172,U1469,R528,Masala Dosa,Healthy Quinoa Salad,1,3,Healthy,Vegan,Vegan,8.5,0,183.0,166.0,4.3,1,0
ORD10173,U1481,R545,Beef Burger,Filter Coffee,1,0,Balanced,Veg,Veg,6.1,10,140.0,853.0,,0,0
ORD10174,U1076,R533,Pasta Alfredo,Chocolate Brownie,1,0,Balanced,Non-Veg,Vegan,9.9,22,110.0,1478.0,4.4,1,0
ORD10175,U1395,R506,Sushi Platter,Chocolate Brownie,1,3,Balanced,Vegan,Veg,13.7,23,139.0,856.0,3.7,0,1
ORD10176,U1407,R501,Masala Dosa,Garlic Bread,1,2,Balanced,Vegan,Non-Veg,6.5,12,95.0,396.0,3.9,0,0
ORD10177,U1147,R508,Masala Dosa,Chocolate Brownie,1,5,Healthy,Veg,Veg,,2,163.0,180.0,4.1,0,0
ORD10178,U1111,R549,Chicken Biryani,Mint Raita,0,4,Junk,Non-Veg,Veg,6.1,22,41.0,629.0,4.4,0,0
ORD10179,U1065,R545,Masala Dosa,Miso Soup,1,1,Balanced,Veg,Veg,,2,163.0,1390.0,3.5,0,0
ORD10180,U1067,R508,Paneer Butter Masala,Chocolate Brownie,1,4,Healthy,Vegan,Veg,1.6,7,83.0,1495.0,4.7,0,1
ORD10181,U1009,R502,Oatmeal Bowl,Filter Coffee,1,6,Balanced,Veg,Veg,7.7,22,24.0,1426.0,4.4,1,1
ORD10182,U1174,R502,Sushi Platter,Chocolate Brownie,1,2,Healthy,Non-Veg,Veg,7.7,20,147.0,1135.0,3.5,0,0
ORD10183,U1240,R532,Masala Dosa,Mint Raita,1,1,Balanced,Vegan,Non-Veg,9.0,9,153.0,903.0,,1,0
ORD10184,U1008,R514,Chicken Biryani,Extra Chutney,1,4,Junk,Veg,Non-Veg,5.8,21,118.0,947.0,4.3,0,0
ORD10185,U1246,R547,Paneer Butter Masala,Extra Chutney,0,6,Balanced,Veg,Vegan,9.4,10,37.0,12040.912154500482,3.9,0,0
ORD10186,U1348,R515,Margherita Pizza,Butter Naan,1,2,Junk,Veg,Veg,13.2,0,225.0,1105.0,3.3,1,0
ORD10187,U1174,R537,Oatmeal Bowl,Healthy Quinoa Salad,1,5,Balanced,Veg,Vegan,14.4,22,161.0,715.0,4.1,0,0
ORD10188,U1024,R517,Oatmeal Bowl,French Fries,0,2,Balanced,Veg,Non-Veg,9.0,20,47.0,1053.0,3.3,1,0
ORD10189,U1020,R541,Sushi Platter,Miso Soup,1,1,Balanced,Vegan,Non-Veg,1.1,7,138.0,314.0,3.9,0,1
ORD10190,U1193,R527,Oatmeal Bowl,Green Tea,0,1,Healthy,Vegan,Veg,14.6,19,134.0,509.0,3.8,0,0
ORD10191,U1400,R523,Masala Dosa,Butter Naan,1,1,Healthy,Non-Veg,Veg,10.7,10,34.0,1279.0,4.4,0,0
